title,ingredients,directions,NER,valid ingredient count,carbon
My Favorite Peanut Butter Cookies,"['1 c. peanut butter', '1 c. sugar', '1 egg', '1 tsp. vanilla']","['Mix ingredients.', 'Place by rounded teaspoonfuls on greased pan.', 'Bake at 325° until brown.']","['vanilla', 'egg', 'peanut butter', 'sugar']",4,0
Green Punch,"['2 pkg. lime Kool-Aid', '2 c. sugar', '1 large can pineapple juice']","['Mix ingredients in gallon container.', 'Finish with water to make 1 gallon.']","['lime', 'sugar', 'pineapple juice']",3,0
Peanut Bacon Wraps,"['8 crackers', 'peanut butter', '8 bacon strips']","['Spread cracker on both sides with peanut butter.', 'Wrap a strip of bacon around each cracker.', 'Micro-cook on paper towel in roasting pan 4 minutes on High or until bacon is crisp.']","['crackers', 'bacon', 'peanut butter']",3,0
A Really Delicious Recipe,"['1 large onion', 'salt', 'pepper', 'slice of margarine']","['Take the onion, preferably a Vidalia.', 'Peel the onion and quarter 3/4 of the way down the onion.', 'Cut a cup shaped depression in the top of the onion.', 'Place a piece of margarine on top of onion and salt and pepper.', 'Place in microwave for 5 to 8 minutes. Cover with waxed paper.', 'This is a great tasty treat.']","['margarine', 'onion', 'pepper', 'salt']",4,0
Easy Frozen Yogurt,"['2 c. plain low-fat yogurt', '1/4 c. frozen orange juice concentrate', '1 tsp. vanilla']","['In medium size bowl, mix all ingredients.', 'Freeze for about 4 hours; stir hourly for first 3 hours.']","['vanilla', 'yogurt', 'orange juice']",3,0
Easy Macaroon Cookies,"['3 c. Angle Flake coconut', '1 c. Eagle Brand condensed milk', '1 tsp. vanilla']","['Combine all ingredients, mixing well.', 'Drop from teaspoon 1 inch apart on well-greased cookie sheet.', 'Bake at 350° for 10 to 12 minutes, or until golden brown.', 'Remove at once from baking sheet.', 'Makes about 4 dozen.']","['vanilla', 'coconut', 'milk']",3,0
Mom'S Baked Rice,"['1/3 c. rice', '1/3 c. sugar', '1 qt. milk', 'pinch of salt']","['Stir all together in greased casserole.', 'Bake at 300° for 3 hours.', 'Stir every 15 minutes for first hour.', 'May add raisins and nuts.']","['rice', 'sugar', 'salt', 'milk']",4,0
Monkey Bread,"['2 loaves frozen bread, thawed', '1 stick margarine, melted', '1 c. sugar and 4 Tbsp. cinnamon, mixed']","['Break off balls of dough.', 'Roll in margarine, then sugar-cinnamon mixture.', 'Place in greased tube pan.', 'Let rise for 1 hour.', 'Bake for 30 minutes at 350°.', 'Invert pan to cool.']","['bread', 'margarine', 'sugar']",3,0
Vegetable Delight,"['1 zucchini', '1 head broccoli', '1 head cauliflower', '4 carrots', '2 large cloves garlic', '1/2 c. olive oil']","['Saute garlic until lightly brown.', 'Add all vegetables and saute until cooked.', 'Can be added to rice or pasta.']","['carrots', 'broccoli', 'cauliflower', 'olive oil', 'garlic', 'zucchini']",6,0
Tuna Cakes,"['6 1/2 oz. can tuna, drained', '1 egg, beaten', '12 saltine crackers', '1/4 c. milk', 'salt and pepper to taste']","['Mix all ingredients.', 'Shape into 6 patties.', 'Fry in 10-inch skillet over medium heat in 1 teaspoon margarine until browned. (Can substitute canned salmon for tuna.)']","['egg', 'tuna', 'crackers', 'milk', 'salt']",5,0
Bacon,['bacon'],"['Put it in a pan and flips it over.', ""Cooks until it's done. Then you can eat it.""]",['bacon'],1,0
Cauliflower Casserole,"['1 head cauliflower', '3 slices bread', '1/2 c. chopped onion', '1/2 c. chopped celery', '3 c. milk', '8 slices cheese', 'salt and pepper']","['Wash cauliflower.', 'Separate head; cook in salted water until done, but not mushy.', 'Put cauliflower in buttered 9 x 12-inch baking dish.', 'While cauliflower is cooking, soak white bread (that the brown edges have been trimmed) in 3 cups of milk.', 'Break up bread after soaking; add onion and celery.', 'Cook in heavy skillet milk, bread, celery and onion until thick and creamy.', 'Salt and pepper to taste.', 'Pour over cauliflower.', 'Cover with cheese.', 'Bake at 350° for 20 to 30 minutes.']","['bread', 'onion', 'celery', 'cauliflower', 'cheese', 'milk', 'salt']",7,0
Pan-Braised Celery,"['3 c. thinly sliced celery', '2 Tbsp. butter']","['Put butter in saucepan, then celery.', 'Cook covered until celery sizzles.', 'Reduce heat.', 'Braise 4 to 5 minutes.', 'Add a few extra drops of water, if necessary. Cook only until crisp-tender. Season with salt.']","['celery', 'butter']",2,0
Cucumber Side Salad,"['1 cucumber, peeled and sliced thin', '1/2 tsp. salt', '1/4 c. sugar']","['Put all ingredients in small bowl; stir good.', 'Set in refrigerator until meal time.', 'Drain off liquid.', 'Serves 2.']","['sugar', 'salt', 'cucumber']",3,0
Kelly'S Cucumber Sandwiches,"['1 large cucumber, peeled', '1/4 c. mayonnaise', 'garlic salt']","['Halve cucumber and scrape out seeds, then grate.', 'Squeeze out water.', 'Mix together with mayonnaise and garlic salt.', 'Spread on bread and cut into small sandwiches.']","['garlic', 'mayonnaise', 'cucumber']",3,0
Tomato Sandwich,"['fresh tomatoes', 'salt', 'pepper', 'mayonnaise', 'bread']","['Peel tomatoes and slice in small pieces.', 'Add salt, pepper and mayonnaise to taste.', 'Toast bread and add the tomato spread.']","['bread', 'tomatoes', 'pepper', 'mayonnaise', 'salt']",5,0
Fried Shrimp Balls,"['1 medium onion, grated', '1 medium raw potato, grated', '1 1/2 lb. raw shrimp, chopped fine', '1 egg', 'salt and pepper to taste']","['Mix all ingredients.', 'Form in small balls.', 'Fry in deep fryer at 375° until golden brown.']","['egg', 'potato', 'onion', 'shrimp', 'salt']",5,0
Sesame Bars,"['2/3 c. honey', '1/4 c. peanut butter', '1 tsp. vanilla', '1/2 tsp. salt', '3 c. sesame seed', '1 1/2 c. coconut']","['Mix together first 4 ingredients in a bowl.', 'Add sesame seed and coconut.', 'Mix well.', 'Dip hands in water, then press ingredients into 9 x 13-inch baking dish.', 'Bake at 300° for 30 to 40 minutes.', 'Cool.', 'Cut into squares.', 'Yield:', '30 (2-inch) bars.']","['sesame seed', 'vanilla', 'peanut butter', 'coconut', 'honey', 'salt']",6,0
White Wash For Chicken Coop,"['50 lb. hydrated lime', '1 Tbsp. salt']","['Fill pail with water.', 'Throw in salt.', 'Keep adding lime, stirring until you get paint-like mixture.', 'Paint coop every year and', 'hose it down between paintings.', 'The lime helps control pests.']","['lime', 'salt']",2,0
1-2-3 Peanut Butter Cookies,"['1 cup peanut butter', '1 cup sugar', '1 egg']","['Mix together until smooth. Roll into one inch balls. Place on cookie sheet. Flatten with fork into criss-cross pattern. Bake at 300 degrees until brown, about 8-10 minutes.']","['egg', 'peanut butter', 'sugar']",3,0
Vanilla Milk,"['1 c. milk', '1 tsp. vanilla', '2 tsp. sugar']","['Heat milk in microwave or on stove.', 'Remove from heat before boiling.', 'Add sugar and vanilla.', 'Enjoy!']","['sugar', 'vanilla', 'milk']",3,0
Candied Mint Leaves Or Violets,"['1 egg white', '1 Tbsp. orange juice', 'superfine sugar']","['Beat egg white until frothy and add juice.', 'Dip or paint leaves or flowers with mixture.', 'Spoon sugar carefully on flowers. Place on wax paper to dry.', 'When dry, put in an airtight container.']","['egg', 'sugar', 'orange juice']",3,0
Heath Cake,"['2 Tbsp. sugar', '1 stick butter, melted', '2 c. crushed Ritz crackers']","['Mix and press in bottom of 9 x 13-inch pan.', 'Refrigerate.']","['crackers', 'sugar', 'butter']",3,0
John'S Favorite Pepper Shrimp,"['2 lb. shrimp', '2 sticks butter', '2 cloves garlic', 'black pepper']","[""Melt butter over medium heat. Add garlic and simmer for 5 minutes. Spread raw shrimp evenly in 13 x 9 Pyrex dish. Pour melted garlic butter over shrimp. Toss gently with your hands. Sprinkle pepper over all the shrimp. Just when you think you've put enough pepper, add more. You can't add too much. Toss again with your hands. Put in 350° preheated oven and bake for 15 to 20 minutes. Shrimp should be pink. Toss with spoon and bake only 5 minutes more. Save the juice off of this; it's very good for dipping toasted bread.""]","['shrimp', 'garlic', 'butter', 'black pepper']",4,0
Quick And Easy Cookies,"['1 c. peanut butter', '1 egg', '1 c. sugar']","['Mix the ingredients together, form in small balls.', 'Place on cookie sheet, crisscross with a fork.', 'Bake 10 to 12 minutes at 350°.', 'Do not overbake.']","['egg', 'peanut butter', 'sugar']",3,0
Baked Garlic,"['1 pod garlic', 'butter']","['Place pod of garlic into piece of foil.', 'Cut top so you can get some butter into center area.', 'Close foil around it and bake at 350° for about 30 minutes.', 'Garlic will slip out of peeling when done.', 'Spread on hot buttered bread or mix with butter for great garlic butter.']","['garlic', 'butter']",2,0
Beer With Egg,"['1 can beer', '1 egg']","['This is an excellent antidote for the chef who has overindulged the night before.', 'Fill a tall glass to the 3/4 mark with beer.', 'Add an egg; beat with a fork.', 'This makes a gold-colored, bland drink for one.', 'Try poaching eggs with beer. The brew adds a special something to both the taste and the texture.']","['egg', 'beer']",2,0
Melba Toast,['low calorie bread'],"['Arrange bread on cookie sheet.', 'Place in a 325° oven.', 'Let dry.', 'Remove after each side has browned.']",['bread'],1,0
Doris' Excellent Fruit Torte,['1 pkg. Pillsbury Refrigerated Sugar Cookie Dough'],"['Grease and flour a 12 pizza pan, then press the dough into it. Bake at 350° for about 15 minutes, or until golden brown.']",['sugar'],1,0
Fast Peanut Butter Cookies,"['1 c. peanut butter', '1 c. sugar', '1 egg', '1 tsp. vanilla']","['Combine all ingredients together.', 'Drop by spoonful on baking sheet.', 'Bake at 350° for 8 to 10 minutes.', 'Make 12 large cookies or 24 small ones.']","['vanilla', 'egg', 'peanut butter', 'sugar']",4,0
Tomato Jelly,"['tomatoes', 'sugar']","['Strain juice of tomatoes to remove the seeds.', 'Mix 1 part tomato juice with 1 part sugar.', 'Cook until desired consistency.']","['sugar', 'tomatoes']",2,0
Yogurt,"['1 qt. milk', '3 Tbsp. yogurt']","['Bring milk to a boil.', 'Remove from heat after reaching a boil. If you want thicker yogurt, boil milk for 5 minutes.', 'Let cool to 85° (slightly warmer than lukewarm).', 'Stir in yogurt - store bought or previously homemade - and stir well.', 'Pour into large bowl and place in a warm spot where it will not be disturbed. Cover bowl.', 'Wrap in towels or other available swaddling.', 'Let stay until set - 5 hours or more.', 'Place in fridge.', 'When chilled, use!', 'I like it best unstirred and drizzled with honey.']","['yogurt', 'milk']",2,0
Fish Baked In Tomato Sauce,"['2 lb. fish', 'juice of 1 lemon', '1/2 c. olive oil', '5 tomatoes, cut up', '1/2 c. white wine']","['Put lemon juice on both sides of fish.', 'Put in baking pan. Heat in skillet; add tomatoes, wine, garlic and sugar.', 'Simmer 15 minutes.', 'Add salt and pepper.', 'Put parsley, bread crumbs and sauce on fish.', 'End up with bread crumbs and parsley.', 'Bake at 350° for 30 minutes.', 'Baste a couple of times.']","['tomatoes', 'white wine', 'fish', 'lemon', 'olive oil']",5,0
Quick Frosting,"['1 egg white', '1/2 tsp. vanilla', '1/2 c. granulated sugar']","['Beat egg white until very stiff, add sugar, slowly beat until the mixture is smooth, add vanilla and spread on cake.']","['egg', 'sugar', 'vanilla']",3,0
Graham Cracker Crust,"['20 graham crackers, rolled fine', '1/3 c. sugar', '1/4 lb. margarine, softened']",['Mix together and press into a 9 x 12-inch pan; keep a few crumbs for topping.'],"['margarine', 'crackers', 'sugar']",3,0
Poor Man'S Dinner,"['1 lb. cheese', '1 loaf bread']",['Place cheese between slices of bread and add mayonnaise.'],"['bread', 'cheese']",2,0
Tangy Shrimp,"['16 shrimp, peeled and deveined', '8 bacon strips']",['Wrap shrimp in bacon strips and saute until bacon is done.'],"['shrimp', 'bacon']",2,0
Cranberry Sorbet,"['2 c. cranberry juice', '1/2 c. sugar']","['Process in blender until sugar dissolves.', 'Place in metal bowl and freeze until almost firm.', 'Return to blender and blend again. Freeze until solid.', 'Makes 3 cups.']","['sugar', 'cranberry juice']",2,0
Baked Brie And Sourdough Bread,"['1 round loaf sourdough bread', '1 1/2 lb. Brie cheese', '2 cloves pressed garlic', '1/3 c. melted margarine']","['With a bread knife, cut a circle through the top of round loaf about 1-inch from edge.', 'Gently remove center portion of bread loaf, leaving a bowl-shaped bottom.', 'Cut removed center portion into 1/2-inch strips.']","['margarine', 'bread', 'garlic', 'cheese']",4,0
Poppy Seed Torte,"['24 graham crackers, crushed', '1/4 c. butter', '1/4 c. sugar']",['Mix together and line bottom and sides of pan. Save 1/2 c. for topping.'],"['crackers', 'sugar', 'butter']",3,0
Low-Fat Chicken,"['1 chicken', '2 Tbsp. honey', '3 Tbsp. apple juice']","['Mix honey and apple juice and pour over chicken.', 'Bake at 350° until done, approximately 1 hour.']","['honey', 'apple juice', 'chicken']",3,0
Copper Pennies,"['2 lb. carrots', '1 small onion', '1 small pepper']","['Slice carrots in rounds; dice onion and pepper.', 'Cook until soft.', 'Drain and let cool.']","['onion', 'carrots', 'pepper']",3,0
Peanut Butter Roll Ups(Childrens Recipe)  ,"['Bread slices', 'Peanut butter']","['Flatten bread with rolling pin.', 'Spread with peanut butter and roll up.']","['bread', 'peanut butter']",2,0
Ice Cream Cake,['1 box butter fudge cake mix'],['Mix up and bake in 4 layers.'],['butter'],1,0
Cream Of Broccoli And Cheese Soup,"['1 qt. milk', '1 large bunch broccoli, washed and chopped', '1 onion, pureed', '1 tsp. salt and pepper']","['Cook altogether until broccoli is tender.', 'Add 1 1/2 cups shredded Cheddar cheese to soup and boil, stirring constantly. Thicken to desired consistency with water and flour.']","['onion', 'broccoli', 'salt', 'milk']",4,0
Boiled Turkey,['1 turkey'],"['Use a large stewing pot.', 'Fill it with enough water to cover turkey.', 'Put whole turkey in pot, turn on burner high enough to boil water.', 'When water boils, turn timer on for 1 hour, depending on if turkey is frozen or unfrozen.', 'Boil until meat on wings is done.', 'It comes off bone slightly when done.', 'The turkey remains soft and tastes like turkey out of the oven.', 'It saves time to cook and does not have the fat content involved.', 'If stuffing is necessary, make it separate in the oven.', 'This cooking is for plain unstuffed turkey.']",['turkey'],1,0
Broccoli Salad,"['1 bunch broccoli', '1 onion', '4 slices bacon', ""Hellman's mayonnaise""]","['Break broccoli into tiny flowerets, peel stems and dice. Slice 1 onion very thin. Dice up 4 pieces of bacon and fry, drain well.', 'Use enough mayonnaise to moisten mixture.', 'Salt lightly if desired.']","['mayonnaise', 'bacon', 'onion', 'broccoli']",4,0
Chocolate Fudge Icing,"['1/2 c. milk', '1/2 c. butter', '2 oz. chocolate', '2 c. sugar']","['Melt chocolate; add sugar, butter and milk. Let come to a boil. Boil for 1 minute only. Set aside to cool and beat until creamy and until it is a spreading consistency.']","['sugar', 'butter', 'chocolate', 'milk']",4,0
Chocolate Blender Frosting,"['1 c. evaporated milk', '1 1/2 tsp. vanilla', '1 1/2 c. sugar', '5 blocks chocolate, cut in small pieces', '6 Tbsp. margarine']","['Put in blender in order given.', 'Blend on medium speed until blended.', 'Blend on high until thick and creamy.', 'Stop and stir frequently.']","['sugar', 'vanilla', 'chocolate', 'margarine', 'milk']",5,0
French Bread With Biloxi Butter,"['1 lb. butter, softened', '1 1/2 lb. shrimp, boiled, peeled, deveined and processed in a blender', 'garlic powder to taste', 'fresh French bread']","['Cream butter and garlic until light and fluffy.', 'Fold shrimp into butter and mix well.', 'Serve on hot French bread.', 'May also be toasted under broiler.']","['shrimp', 'bread', 'garlic', 'butter']",4,0
Sweet Rice,"['2 c. milk', '2 c. rice', '3/4 c. sugar', '2 tsp. vanilla']","['Combine milk, sugar and vanilla in saucepan.', 'Bring to a boil. Turn off heat and add rice. Cover until all liquid is absorbed into the rice.', 'Fluff with fork and serve.']","['rice', 'sugar', 'vanilla', 'milk']",4,0
Lemon Sauce(Especially Good On Gingerbread)  ,"['juice of one lemon', '1 egg', '1 c. sugar', '1 stick butter']",['Add all ingredients together and cook in double boiler until thick.'],"['butter', 'lemon', 'egg', 'sugar']",4,0
Butter Baked Carrot Sticks,"['1 lb. carrots', '2 tsp. sugar', '1 tsp. salt', '1/8 tsp. pepper', '4 Tbsp. butter']","['Pare carrots; cut in 3-inch long sticks.', 'Place in shallow 6-cup baking dish.', 'Sprinkle with seasonings.', 'Dot with butter. Cover.', 'Bake at 400 ° for 45 minutes or until tender.']","['sugar', 'pepper', 'carrots', 'butter', 'salt']",5,0
Mulled Apple Cider,"['4 c. apple juice', '1 c. cranberry juice', '1 scoop orange juice concentrate']",['Simmer several hours with a cinnamon stick. Make in multiples for large groups.'],"['apple juice', 'orange juice', 'cranberry juice']",3,0
Peanut Butter Milk Shake,"['3 Tbsp. peanut butter', '4 c. milk', '3 tsp. sugar']","['Put peanut butter, milk and sugar into blender.', 'Mix for 2 to 3 minutes.', 'If desired, may put more of any/either ingredient.']","['peanut butter', 'sugar', 'milk']",3,0
Peanut Butter,"['4 c. roasted nuts', '1 tsp. salt']","['Shell 4 cups of peanuts and roast.', 'Remove skins, grind the peanuts through a food chopper or meat grinder, add 1 teaspoon salt.', 'Remove 1/2 cup of the crushed peanuts, grind the remainder the second or third time using a smaller knife or take up the tension of the plate until the grinder is hard to turn.', 'Mix coarse butter with the fine.', 'Fill into clean, sterile jars.', 'Pack the peanut butter so that all air is expelled to prevent rancidity.', 'Seal the container air tight.', 'If the peanut butter is to be stored for several months, process for 10 minutes in a water bath to remove air from top of the jar.', 'Store in cool, dry, dark place.']","['nuts', 'salt']",2,0
Impossible Cookies,"['1 egg', '2/3 c. sugar', '1 c. peanut butter', '1/2 tsp. vanilla']","['Beat egg; add sugar and beat until creamy.', 'Add vanilla and peanut butter.', 'Mix well.', 'Form 1-inch balls on ungreased cookie sheet.', 'Bake 10 to 12 minutes at 350°.', 'Let cookies harden on cookie sheet a few minutes.', 'Makes 30 to 40 cookies.', '(This does not have any flour.)']","['egg', 'sugar', 'vanilla', 'peanut butter']",4,0
"""Snow"" Ice Cream","['1 c. milk', '1 beaten egg', '1/2 c. sugar', '1 tsp. vanilla']","['Blend together milk, egg, sugar and vanilla.', 'Add clean, crushed ice until the mixture is absorbed.', 'Then serve in an ice cream cone, topped off with maple syrup or thawed orange juice concentrate.']","['egg', 'sugar', 'vanilla', 'milk']",4,0
Honey Fudge,"['2 c. sugar', '3/4 c. milk', '1/4 c. cream', '1 sq. chocolate', '1 tsp. vanilla', '2 Tbsp. butter', '1 c. nuts', '1/4 c. honey']","['Boil sugar, milk, cream and chocolate for 5 minutes.', 'Add honey and cook until it forms a soft ball in cold water; 236°.', 'Remove from heat and allow to cool to 120°.', 'Beat until it loses its shiny look.', 'Pour into 8 x 8-inch pan.', 'Cut in 1 inch squares.', 'Store in refrigerator.']","['sugar', 'vanilla', 'honey', 'chocolate', 'nuts', 'milk', 'cream', 'butter']",8,0
Old-Fashioned Peanut Butter Fudge,"['2 c. sugar', '3/4 c. milk', '1/4 tsp. salt', '3/4 c. peanut butter', '2 tsp. vanilla']","['Mix sugar and milk.', 'Cook without stirring, until forms a soft ball.', 'Remove from heat.', 'Cool slightly.', 'Add peanut butter and vanilla.', 'Beat until it loses its gloss.', 'Makes 1 1/2 pounds.']","['sugar', 'vanilla', 'peanut butter', 'milk', 'salt']",5,0
Homemade Caramel,['1 can Eagle Brand milk'],"['DO NOT PUT HOLES IN CAN!!', 'Place can in pot of boiling water.', 'Boil for at least 3 hours.', 'Open can and serve.']",['milk'],1,0
Potato Candy,"['1/4 c. boiled mashed Irish potato', '1 box 4x powdered sugar', '1 c. peanut butter']","[""Boil potato until tender. Let cool until it's workable. Then mix in powdered sugar, enough until thick. Pinch small amount of dough and pat in palm of hand until oblong. Place oblong dough on piece of wax paper. Sprinkle with powdered sugar. Spread dough with peanut butter. Roll up and slice with knife. Refrigerate the candy until firm.""]","['sugar', 'peanut butter', 'potato']",3,0
Kristina'S Cheese Toast,"['2 pieces bread', '2 slices cheese', '2 Tbsp. butter']",['Use 3 mixing bowls.'],"['bread', 'cheese', 'butter']",3,0
Three Minute Pie,"['1/2 c. sugar', '1/2 stick butter', '1 c. coconut', '1 tsp. vanilla']",['Mix all ingredients; pour in 9-inch unbaked pie crust. Bake 45 minutes at 350°.'],"['vanilla', 'sugar', 'butter', 'coconut']",4,0
Icy Melon Freeze,"['3 c. pureed melon', '1/3 c. sugar', '1 c. orange juice']","['Combine puree and sugar until sugar dissolves.', 'Add juice and stir.', 'Place in a freezer container and freeze until partially frozen.']","['melon', 'sugar', 'orange juice']",3,0
Orange Glazed Carrots,"['1 1/3 c. melted margarine', '1 tsp. sugar', '1 c. orange juice', '1 lb. carrots, peeled and sliced']","['Combine all ingredients in a saucepan.', 'Cover and simmer 15 to 20 minutes or until tender.', 'Uncover and cook until liquid is absorbed.', 'Makes 4 to 6 servings.']","['carrots', 'margarine', 'sugar', 'orange juice']",4,0
Carrots,"['2 lb. carrots', '1/3 c. margarine', '1 Tbsp. sugar', '1 medium onion', 'salt']","['Peel and slice carrots into microwavable casserole dish.', 'Cut up onions on top of carrots.', 'Cut up margarine into 4 to 5 pats on top of carrots and onions.', 'Spread sugar over top.', 'Salt as you would any vegetable.', 'Do not stir.', 'Microwave on High 10 to 15 minutes.', 'Stir carrots and microwave another 10 to 15 minutes or until done.']","['sugar', 'onion', 'margarine', 'carrots', 'salt']",5,0
Bacon Crackers,"['saltine crackers', 'bacon']","['Wrap cracker in 1/2 slice bacon.', 'Bake at 375° until brown. Delicious.']","['crackers', 'bacon']",2,0
Andy'S Homemade Peas,['1 can peas'],['Heat to a boil and serve.'],['peas'],1,0
Uncooked Cookies,"['2 c. sugar', '1/2 c. milk', '1 Tbsp. vanilla', '1/2 c. butter', '2 sq. chocolate', '3 c. oatmeal', '1 c. coconut']",['Drop by teaspoon on wax paper and put into refrigerator.'],"['sugar', 'vanilla', 'chocolate', 'coconut', 'milk', 'oatmeal', 'butter']",7,0
Chocolate Peanut Butter Crackers,"['Ritz crackers', 'peanut butter', 'chocolate']","['Put peanut butter between 2 crackers.', 'Melt chocolate; dip crackers one at a time in chocolate.', 'Place on rack to harden. After hardened, place in airtight container.']","['crackers', 'peanut butter', 'chocolate']",3,0
Easy Peanut Butter Fudge,"['3 cups sugar', '1 -1/2 cups milk', '1 cup peanut butter']",['Cook sugar and milk until soft ball stage. Add peanut butter. Beat until thick and pour into buttered 9 inch square pan.'],"['sugar', 'peanut butter', 'milk']",3,0
Pileau(Pearl O)  ,"['1 large chicken, cut in pieces', 'rice']","['You could also use ham, shrimp or sausage.']","['rice', 'chicken']",2,0
Egg In A Frame,"['1 slice bread', 'butter', 'egg']","['Cut center of bread with cookie cutter to make a hole in bread.', 'Melt butter in frying pan.', 'Place bread in butter and break egg in the hole in the bread.', 'Fry until egg is done. Butter round piece and serve with frame.', 'Kids love this one!']","['bread', 'egg', 'butter']",3,0
Christmas Porridge(Risengrynsgrot)  ,"['6 c. milk', '1 c. rice', '3 Tbsp. sugar', '1/2 tsp. salt']","['Put all 4 of the ingredients together in top of a double boiler.', 'Cover and cook over simmering water 2 1/2 to 3 hours, or until rice is entirely soft when a kernel is pressed between fingers and the mixture is quite thick.', 'Remove cover for last 10 minutes if mixture is not thick enough.', 'Serve with cool milk, sugar, cinnamon or serve with a fruit sauce.']","['rice', 'sugar', 'salt', 'milk']",4,0
Believe It Or Not Cookie,"['1 c. peanut butter', '1 egg', '1 tsp. vanilla', '1 c. sugar']","['Mix ingredients.', 'Roll into small balls.', 'Spread with fork. Bake at 400° for 10 minutes.']","['sugar', 'egg', 'peanut butter', 'vanilla']",4,0
Colorful Beverage,"['64 oz. bottle orange juice', '64 oz. bottle cranberry juice']","['Pour the orange juice into ice cube trays and freeze them. Chill the cranberry juice in the refrigerator.', 'When the orange juice cubes are frozen, Place them in a large pitcher and pour in the cranberry juice.']","['orange juice', 'cranberry juice']",2,0
Blt Sandwiches,['3 strips fried bacon to 1 sandwich'],"['This sandwich is especially good on toasted whole wheat bread. If you prefer, it can be made on plain white bread, but it is not as eye-appealing.']",['bacon'],1,0
West Virginia Fried Chicken,"['1/2 tsp. each: salt, pepper, oregano, sugar, thyme, garlic powder, paprika, brown sugar, rosemary and onion']",['Mix all together. Coat chicken in mixture and fry in butter and oil.'],['salt'],1,0
Believe It Or Not Cookies,"['1 c. peanut butter', '1 c. sugar', '1 large egg', '1 tsp. vanilla']","['Beat all together well.', 'Form into balls as for peanut butter cookies.', 'Flatten with fork and bake at 350° for about 10 minutes.']","['vanilla', 'egg', 'peanut butter', 'sugar']",4,0
Chocolate Icing,"['2 c. sugar', '1 c. milk', '1 stick butter', '1 tsp. vanilla', '4 to 4 1/2 Tbsp. chocolate', '1 tsp. salt']","['Combine all ingredients together in saucepan and bring to a boil.', 'Boil for exactly 2 minutes.', 'Cool thoroughly.', 'Beat for 1 1/2 minutes.', 'Spread on cake.']","['sugar', 'vanilla', 'chocolate', 'milk', 'butter', 'salt']",6,0
Angela'S Peanut Butter Cookies,"['1 c. peanut butter', '1 c. sugar', '1 egg']","['Mix all ingredients together.', 'Bake on ungreased cookie sheet at 350° for 7 minutes.']","['egg', 'peanut butter', 'sugar']",3,0
Breakfast Drink,"['6 to 8 oz. orange juice', '1 sliced banana', '1 Tbsp. yogurt']",['Place all in blender and blend until smooth.'],"['yogurt', 'banana', 'orange juice']",3,0
Ground Nut Frosting,"['1 c. finely ground nuts', '1 c. margarine', '1/2 c. scalded milk', '9 Tbsp. granulated sugar']","['Pour milk over ground nuts and cool.', 'Cream butter.', 'Add sugar tablespoon at a time.', 'Add cooled nut mixture and 1/2 teaspoon vanilla or almond flavoring.', 'Cut angel food cake in half crosswise.', 'Spread lower portion with frosting.', 'Replace top layer and frost remainder of cake.']","['nuts', 'margarine', 'sugar', 'milk']",4,0
Chicken Stew,"['1 large chicken', '1 qt. tomatoes', 'crackers', '1 large onion', '1 lb. Hoop cheese']","['Boil chicken, debone and reserve broth.', 'Boil broth, tomatoes and onion until onions are tender.', 'Add meat back to mixture.', 'Add shredded cheese and crackers until desired consistency.']","['tomatoes', 'crackers', 'onion', 'cheese', 'chicken']",5,0
Amazing Peanut Butter Cookies,"['1 c. peanut butter', '1 c. sugar']","['Mix together peanut butter and sugar.', 'Drop by spoonfuls onto ungreased cookie sheet.', 'Bake at 325° for 10 to 15 minutes. Should be lightly cracked and brown.', 'Do not overbake.']","['peanut butter', 'sugar']",2,0
Lunchbox Sandwich,"['3/4 c. peanut butter', '1/4 c. mayonnaise', '1/3 c. mashed, ripe banana', '2 slices bread']",['Mix all ingredients together well and spread on bread. Refrigerate remaining mixture for next day.'],"['bread', 'banana', 'peanut butter', 'mayonnaise']",4,0
Banana Shake,"['3/4 c. milk', '1 ripe banana', '1 egg', '1/2 tsp. vanilla']","['Combine all ingredients in a blender.', 'Then cover and mix at high speed until foamy.', 'Makes 1 serving.']","['banana', 'egg', 'vanilla', 'milk']",4,0
Chuck'S Peanut Butter Fudge,"['3 c. sugar', '1 1/2 c. milk', '1/8 tsp. salt', '1/4 c. butter', '1 tsp. vanilla', '2/3 c. peanut butter']","['Butter 8 x 8-inch glass dish, set aside.', 'Mix sugar, milk and salt together.', 'Cook over medium heat to soft ball stage.', 'Remove from heat and add vanilla, butter and peanut butter.', 'Beat fudge until it stiffens and loses its glaze.', 'Quickly pour into glass dish.', 'Refrigerate until ready to serve.']","['sugar', 'vanilla', 'peanut butter', 'milk', 'butter', 'salt']",6,0
Piggy Back Crackers,"['1 lb. bacon', '48 saltine crackers']","['Cut bacon slices in half.', 'Wrap one piece around each cracker. Place on broiler pan.', 'Cook in 200° oven for 2 to 2 1/2 hours. Makes 4 dozen.']","['crackers', 'bacon']",2,0
Super Apple Sandwich,"['1 apple, sliced and cored', '1 Tbsp. dry milk', '2 Tbsp. peanut butter']","['Wash apple.', 'Mix dry milk and peanut butter in small bowl. Slice apple into 4 sections, remove core.', 'Spread mixture over 1 slice, top with 1 more apple slice.']","['apple', 'peanut butter', 'milk']",3,0
